state,x,y
Pachim Champaran,-264.0,236.0
GopalGanj,-258.0,119.0
Siwan,-252.0,50.0
Saran,-191.0,18.0
Bhojpur,-222.0,-67.0
Buxar,-292.0,-62.0
Kaimur,-378.0,-129.0
Rohtas,-321.0,-179.0
Aurangabad,-252.0,-215.0
Gaya,-138.0,-223.0
Nawada,-52.0,-214.0
Jamui,82.0,-208.0
Banka,182.0,-195.0
Bhagalpur,215.0,-127.0
Katihar,316.0,-69.0
Purnia,272.0,-7.0
Kishanganj,375.0,79.0
Araria,279.0,65.0
Supaul,181.0,77.0
Madhubani,73.0,105.0
Sitamarhi,-43.0,141.0
Purbi Champaran,-150.0,156.0
Shedhar,-87.0,120.0
Muzaffarpur,-95.0,53.0
Vaishali,-91.0,-22.0
Patna,-140.0,-74.0
Arwal,-196.0,-134.0
Jehanabad,-142.0,-146.0
Nalanda,-70.0,-134.0
Sheikhpura,9.0,-140.0
Lakhisarai,60.0,-143.0
Munger,128.0,-115.0
Khagaria,152.0,-69.0
Madhepura,198.0,-51.0
Saharsa,142.0,-12.0
Darbhanga,43.0,43.0
Samastipur,5.0,-12.0
Begusarai,60.0,-75.0
